tau_hat,age,female,post,age_sq,educ_0,educ_1,educ_2,educ_3
-0.23221701784933985,53.0,0.0,0,2809.0,0,1,0,0
-0.42125045606316147,38.5,0.0,0,1482.25,0,1,0,0
-0.697740338923678,27.5,0.0,0,756.25,0,1,0,0
-0.2560644057422908,42.0,0.0,0,1764.0,1,0,0,0
-0.28083786928481197,56.0,0.0,0,3136.0,0,0,1,0
-0.5252355850471913,30.5,0.0,1,930.25,0,0,1,0
-0.6004213232570534,34.0,0.0,1,1156.0,0,1,0,0
-0.3767753577274337,51.0,0.0,0,2601.0,1,0,0,0
-0.6027454873377491,58.0,0.0,1,3364.0,1,0,0,0
-0.9145579333589846,29.0,0.0,0,841.0,0,1,0,0
-0.3174243392803859,30.5,0.0,0,930.25,1,0,0,0
-0.24605428429943801,44.0,0.0,1,1936.0,1,0,0,0
-0.6437182661583775,27.0,0.0,0,729.0,0,1,0,0
-0.13554395344468437,30.5,0.0,1,930.25,1,0,0,0
-0.22455765879528078,24.0,0.0,0,576.0,1,0,0,0
-0.473221508271328,48.0,0.0,0,2304.0,1,0,0,0
-0.4338027783760157,44.5,0.0,0,1980.25,1,0,0,0
-0.4234178712939249,52.0,0.0,0,2704.0,1,0,0,0
-0.40044322339646743,34.5,0.0,1,1190.25,1,0,0,0
-0.20255098102022734,24.5,0.0,1,600.25,1,0,0,0
-0.7246368553036742,33.5,0.0,1,1122.25,0,1,0,0
-0.31568219145315685,55.5,0.0,1,3080.25,1,0,0,0
-0.36529778041088273,51.5,0.0,0,2652.25,1,0,0,0
